"","comm.rank..","name","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"33",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom105 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",1,"",3.116,4.484
"34",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom201 PTAC DXCoil","Rated COP",3.77134409,2.639,4.901,"uniform","float",2,"",3.0914,4.4486
"35",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom202_205 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"36",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom206_208 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"37",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom209_212 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"38",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom213 PTAC DXCoil","Rated COP",3.796034697,2.6572,4.9348,"uniform","float",4,"",3.11272,4.47928
"39",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom214 PTAC DXCoil","Rated COP",3.803284597,2.6621,4.9439,"uniform","float",4,"",3.11846,4.48754
"40",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom215_218 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"41",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom219 PTAC DXCoil","Rated COP",3.727186868,2.6089,4.8451,"uniform","float",4,"",3.05614,4.39786
"42",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom220_223 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"43",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom224 PTAC DXCoil","Rated COP",3.803284597,2.6621,4.9439,"uniform","float",4,"",3.11846,4.48754
"44",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom301 PTAC DXCoil","Rated COP",3.773530409,2.639,4.901,"uniform","float",2,"",3.0914,4.4486
"45",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom302_305 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"46",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom306_308 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"47",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom309_312 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"48",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom313 PTAC DXCoil","Rated COP",3.781642497,2.6474,4.9166,"uniform","float",4,"",3.10124,4.46276
"49",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom314 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",1,"",3.116,4.484
"50",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom315_318 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"51",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom319 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",1,"",3.116,4.484
"52",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom320_323 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"53",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom324 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",1,"",3.116,4.484
"54",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom401 PTAC DXCoil","Rated COP",3.654092443,2.5578,4.7502,"uniform","float",4,"",2.99628,4.31172
"55",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom402_405 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"56",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom406_408 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"57",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom409_412 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"58",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom413 PTAC DXCoil","Rated COP",3.658167518,2.5606,4.7554,"uniform","float",4,"",2.99956,4.31644
"59",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom414 PTAC DXCoil","Rated COP",3.684713369,2.5788,4.7892,"uniform","float",4,"",3.02088,4.34712
"60",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom415_418 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"61",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom419 PTAC DXCoil","Rated COP",3.718316964,2.6026,4.8334,"uniform","float",4,"",3.04876,4.38724
"62",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom420_423 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"63",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom424 PTAC DXCoil","Rated COP",3.686350977,2.5788,4.7892,"uniform","float",4,"",3.02088,4.34712
"64",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:10_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"65",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:11_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"66",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:12_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"67",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:1_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"68",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:2_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"69",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:3_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"70",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:4_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"71",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:5_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"72",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:6_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"73",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:7_CoolC DXCoil","Rated COP",3.500159864,2.45,4.55,"uniform","float",5,"",2.87,4.13
"74",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:8_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"75",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-HEATCOOL:9_CoolC DXCoil","Rated COP",3.666684429,2.5669,4.7671,"uniform","float",5,"",3.00694,4.32706
"76",0,"11_SmallHotel.xml.csv","Schedule:Compact","MinOA_Sched","Field 4",1,0.7,1.3,"uniform","float",6,"",0.82,1.18
"77",0,"11_SmallHotel.xml.csv","Schedule:Compact","UnitHeater_ClgSP_Sch","Field 4",40,28,52,"uniform","float",7,"HB1 - CB1 < -1",32.8,47.2
"78",0,"11_SmallHotel.xml.csv","Schedule:Compact","UnitHeater_HtgSP_Sch","Field 4",15.6,10.92,20.28,"uniform","float",8,"",12.792,18.408
"79",0,"11_SmallHotel.xml.csv","WaterHeater:Mixed","SWHSys1 Water Heater","Tank Volume",2,1.4,2.6,"uniform","float",9,"",1.64,2.36
"80",0,"11_SmallHotel.xml.csv","WaterHeater:Mixed","SWHSys1 Water Heater","Maximum Temperature Limit",82.2222,57.54,106.86,"uniform","float",10,"",67.404,96.996
"81",0,"11_SmallHotel.xml.csv","WaterHeater:Mixed","SWHSys1 Water Heater","Heater Maximum Capacity",845000,59150,109850,"uniform","float",11,"",69290,99710
"82",0,"11_SmallHotel.xml.csv","WaterHeater:Mixed","SWHSys1 Water Heater","Heater Thermal Efficiency",0.8,0.56,0.999,"uniform","float",12,"",0.6478,0.9112
"83",0,"12_SmallOffice.xml.csv","GasEquipment","Kitchen_ZN_1_FLR_1_MiscGas_Equip","Design Level",241713,169199.1,314226.9,"uniform","float",1,"",198204.66,285221.34
"84",0,"12_SmallOffice.xml.csv","Fan:ConstantVolume","PSZ-AC_2:6_Fan","Fan Efficiency",0.5915,0.41405,0.76895,"uniform","float",2,"",0.48503,0.69797
"85",0,"12_SmallOffice.xml.csv","Fan:ConstantVolume","PSZ-AC_2:6_Fan","Motor Efficiency",0.91,0.637,0.999,"uniform","float",3,"",0.7094,0.9266
"86",0,"12_SmallOffice.xml.csv","Fan:ConstantVolume","PSZ-AC_3:7_Fan","Fan Efficiency",0.5915,0.41405,0.76895,"uniform","float",4,"",0.48503,0.69797
"87",0,"12_SmallOffice.xml.csv","Fan:ConstantVolume","PSZ-AC_3:7_Fan","Motor Efficiency",0.91,0.637,0.999,"uniform","float",5,"",0.7094,0.9266
