"","comm.rank..","name","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"34",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_1:5_Fan","Pressure Rise",1017.592,712.3144,13222.87,"uniform","float",4,"",3214.42552,10720.75888
"35",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_1:5_Fan","Motor Efficiency",0.93,0.651,0.999,"uniform","float",4,"",0.7206,0.9294
"36",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_2:6_Fan","Fan Efficiency",0.5915,0.41405,0.76895,"uniform","float",5,"",0.48503,0.69797
"37",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_2:6_Fan","Motor Efficiency",0.91,0.637,0.999,"uniform","float",6,"",0.7094,0.9266
"38",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_3:7_Fan","Fan Efficiency",0.5915,0.41405,0.76895,"uniform","float",5,"",0.48503,0.69797
"39",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_3:7_Fan","Motor Efficiency",0.91,0.637,0.999,"uniform","float",6,"",0.7094,0.9266
"40",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_4:8_Fan","Fan Efficiency",0.53625,0.375375,0.999,"uniform","float",7,"",0.5001,0.874275
"41",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_4:8_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",7,"",510.04,733.96
"42",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_4:8_Fan","Motor Efficiency",0.825,0.5775,0.999,"uniform","float",7,"",0.6618,0.9147
"43",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_5:9_Fan","Fan Efficiency",0.5915,0.41405,0.76895,"uniform","float",5,"",0.48503,0.69797
"44",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-AC_5:9_Fan","Motor Efficiency",0.91,0.637,0.999,"uniform","float",6,"",0.7094,0.9266
"45",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-AC_1:5_CoolC DXCoil","Rated COP",3.133805819,2.19366,4.07394,"uniform","float",8,"",2.569716,3.697884
"46",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-AC_2:6_CoolC DXCoil","Rated COP",3.233720558,2.26359,4.20381,"uniform","float",8,"",2.651634,3.815766
"47",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-AC_3:7_CoolC DXCoil","Rated COP",3.233720558,2.26359,4.20381,"uniform","float",8,"",2.651634,3.815766
"48",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-AC_4:8_CoolC DXCoil","Rated COP",3.666684429,2.56676,4.76684,"uniform","float",8,"",3.006776,4.326824
"49",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","PSZ-AC_5:9_CoolC DXCoil","Rated COP",3.233720558,2.26359,4.20381,"uniform","float",8,"",2.651634,3.815766
"50",0,"11_SmallHotel.xml.csv","Boiler:HotWater","HeatSys1 Boiler","Nominal Thermal Efficiency",0.78,0.546,0.999,"uniform","float",9,"",0.6366,0.9084
"51",0,"11_SmallHotel.xml.csv","Boiler:HotWater","HeatSys1 Boiler","Design Water Outlet Temperature",82.2,57.54,106.86,"uniform","float",10,"",67.404,96.996
"52",0,"11_SmallHotel.xml.csv","WaterHeater:Mixed","SWHSys1 Water Heater","Tank Volume",3,2.1,3.9,"uniform","float",11,"",2.46,3.54
"53",0,"11_SmallHotel.xml.csv","WaterHeater:Mixed","SWHSys1 Water Heater","Heater Maximum Capacity",845000,591500,1098500,"uniform","float",12,"",692900,997100
"54",0,"11_SmallHotel.xml.csv","WaterHeater:Mixed","SWHSys1 Water Heater","Heater Thermal Efficiency",0.8,0.56,0.999,"uniform","float",12,"",0.6478,0.9112
