Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Schedule:Compact,HTGSETP_SCH,Field 6,21,14.7,27.3,uniform,float,HA2,
Schedule:Compact,HTGSETP_SCH,Field 8,15.6,10.92,20.28,uniform,float,HA3,
Schedule:Compact,HTGSETP_SCH,Field 11,15.6,10.92,20.28,uniform,float,HA4,
Schedule:Compact,HTGSETP_SCH,Field 13,21,14.7,27.3,uniform,float,HA5,
Schedule:Compact,HTGSETP_SCH,Field 15,15.6,10.92,20.28,uniform,float,HA6,
Schedule:Compact,HTGSETP_SCH,Field 18,21,14.7,27.3,uniform,float,HA7,
Schedule:Compact,HTGSETP_SCH,Field 21,15.6,10.92,20.28,uniform,float,HA8,
Schedule:Compact,MinOA_Sched,Field 4,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 6,1,0.7,1.3,uniform,float,,
Schedule:Compact,MinOA_Sched,Field 8,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 11,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 13,1,0.7,1.3,uniform,float,,
Schedule:Compact,MinOA_Sched,Field 15,0,0,0.3,exponential,float,,
Schedule:Compact,MinOA_Sched,Field 18,0,0,0.3,exponential,float,,
WaterHeater:Mixed,SWHSys1 Water Heater,Tank Volume,0.1514,0.10598,0.19682,uniform,float,,
WaterHeater:Mixed,SWHSys1 Water Heater,Maximum Temperature Limit,82.2222,57.54,106.86,uniform,float,,
WaterHeater:Mixed,SWHSys1 Water Heater,Heater Maximum Capacity,845000,59150,109850,uniform,float,,
WaterHeater:Mixed,SWHSys1 Water Heater,Heater Thermal Efficiency,0.8,0.56,0.999,uniform,float,,
Schedule:Compact,SWHSys1 Water Heater Setpoint Temperature Schedule Name,Field 4,60,42,78,uniform,float,,
Schedule:Compact,SWHSys1-Loop-Temp-Schedule,Field 4,60,42,78,uniform,float,,
