Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Sizing:Parameters,Sizing:Parameters,Heating Sizing Factor,1.33,0.931,1.729,uniform,float,,
Sizing:Parameters,Sizing:Parameters,Cooling Sizing Factor,1.33,0.931,1.729,uniform,float,,
Lights,Banquet_Flr_6_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,G0001,
Lights,Basement_Lights,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,,
Lights,Cafe_Flr_1_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,G0001,
Lights,Corridor_Flr_3_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,,
Lights,Corridor_Flr_6_Lights,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,,
Lights,Dining_Flr_6_Lights,Watts per Zone Floor Area,13.99,9.793,18.187,uniform,float,G0001,
Lights,Kitchen_Flr_6_Lights,Watts per Zone Floor Area,12.91,9.037,16.783,uniform,float,,
Lights,Laundry_Flr_1_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,,
Lights,Lobby_Flr_1_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Retail_1_Flr_1_Lights,Watts per Zone Floor Area,16.14,11.298,20.982,uniform,float,,
Lights,Retail_2_Flr_1_Lights,Watts per Zone Floor Area,16.14,11.298,20.982,uniform,float,,
Lights,Room_1_Flr_3_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_1_Flr_6_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_2_Flr_3_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_2_Flr_6_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_3_Mult19_Flr_3_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_3_Mult9_Flr_6_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_4_Mult19_Flr_3_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_5_Flr_3_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Room_6_Flr_3_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,Storage_Flr_1_Lights,Watts per Zone Floor Area,9.68,6.776,12.584,uniform,float,,
ElectricEquipment,Banquet_Flr_6_MiscPlug_Equip,Design Level,22492,15744.4,29239.6,uniform,float,,
ElectricEquipment,Basement_MiscPlug_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,,
ElectricEquipment,Cafe_Flr_1_MiscPlug_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,,
ElectricEquipment,Dining_Flr_6_MiscPlug_Equip,Design Level,22492,15744.4,29239.6,uniform,float,,
ElectricEquipment,Kitchen_Flr_6_ExhFan_Equip,Design Level,698,488.6,907.4,uniform,float,,
ElectricEquipment,Kitchen_Flr_6_MiscElec_Equip,Design Level,52481,36736.7,68225.3,uniform,float,,
ElectricEquipment,Laundry_Flr_1_MiscPlug_Equip,Design Level,4813,3369.1,6256.9,uniform,float,,
ElectricEquipment,Laundry_Flr_1_ExhFan_Equip,Design Level,87,60.9,113.1,uniform,float,,
ElectricEquipment,Lobby_Flr_1_MiscPlug_Equip,Watts per Zone Floor Area,8.07,5.649,10.491,uniform,float,,
ElectricEquipment,Mech_Flr_1_MiscPlug_Equip,Watts per Zone Floor Area,5.38,3.766,6.994,uniform,float,,
ElectricEquipment,Retail_1_Flr_1_MiscPlug_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,,
ElectricEquipment,Retail_2_Flr_1_MiscPlug_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,,
ElectricEquipment,Room_1_Flr_3_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_1_Flr_6_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_2_Flr_3_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_2_Flr_6_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_3_Mult19_Flr_3_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_3_Mult9_Flr_6_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_4_Mult19_Flr_3_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_5_Flr_3_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Room_6_Flr_3_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0003,
ElectricEquipment,Storage_Flr_1_MiscPlug_Equip,Watts per Zone Floor Area,2.69,1.883,3.497,uniform,float,,
GasEquipment,Kitchen_Flr_6_MiscGas_Equip,Design Level,166606,116624.2,216587.8,uniform,float,,
GasEquipment,Laundry_Flr_1_MiscGas_Equip,Design Level,41818,29272.6,54363.4,uniform,float,,
ZoneInfiltration:DesignFlowRate,Banquet_Flr_6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Cafe_Flr_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corridor_Flr_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corridor_Flr_6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Dining_Flr_6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Kitchen_Flr_6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Laundry_Flr_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Lobby_Flr_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mech_Flr_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Retail_1_Flr_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Retail_2_Flr_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_1_Flr_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_1_Flr_6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_2_Flr_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_2_Flr_6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_3_Mult19_Flr_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_3_Mult9_Flr_6_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_4_Mult19_Flr_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_5_Flr_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Room_6_Flr_3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Storage_Flr_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
Fan:VariableVolume,VAV WITH REHEAT_Fan,Fan Efficiency,0.61425,0.429975,0.798525,uniform,float,,
