Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Lights,GuestRoom424_Lights,Watts per Zone Floor Area,11.84,8.288,15.392,uniform,float,G0002,
Lights,LaundryRoomFlr1_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,MechanicalRoomFlr1_Lights,Watts per Zone Floor Area,16.16,11.312,21.008,uniform,float,,
Lights,MeetingRoomFlr1_Lights,Watts per Zone Floor Area,14,9.8,18.2,uniform,float,,
Lights,RearStairsFlr1_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,RearStairsFlr2_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,RearStairsFlr3_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,RearStairsFlr4_Lights,Watts per Zone Floor Area,6.46,4.522,8.398,uniform,float,G0003,
Lights,RearStorageFlr1_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,RearStorageFlr2_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,RearStorageFlr3_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,RearStorageFlr4_Lights,Watts per Zone Floor Area,8.6,6.02,11.08,uniform,float,,
Lights,RestroomFlr1_Lights,Watts per Zone Floor Area,9.7,6.79,12.61,uniform,float,,
ElectricEquipment,ElevatorCoreFlr1_Elevators_Equip,Design Level,32109.89011,22476.92,41742.86,uniform,float,,
ElectricEquipment,EmployeeLoungeFlr1_PlugMisc_Equip,Watts per Zone Floor Area,77.16,54.012,100.308,uniform,float,,
ElectricEquipment,ExerciseCenterFlr1_PlugMisc_Equip,Watts per Zone Floor Area,11.5,8.05,14.95,uniform,float,,
ElectricEquipment,FrontLoungeFlr1_PlugMisc_Equip,Watts per Zone Floor Area,15.4,10.78,20.02,uniform,float,,
ElectricEquipment,FrontOfficeFlr1_PlugMisc_Equip,Watts per Zone Floor Area,12.9,9.03,16.77,uniform,float,,
ElectricEquipment,GuestRoom101_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom102_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom103_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom104_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom105_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom201_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom202_205_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom206_208_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom209_212_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
